========================================================================================================================
File Design Information:

Date:       12/08/18
Time:       18:33
Revision:   162
Variant:    Production
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","MouserCode","PartNumber","Value"
"L1","600R@100MHz","BottomLayer","L0402","-3.7000","3.2000","45","Ferrite Bead","963-BK1005HS601-T","BK1005HS601-T","600R@100MHz"
"U1","PIC16F18345-I/GZZ","BottomLayer","MCHP-QFN-ML20_L","0.0000","0.0000","225","8-bit Microcontrollers - MCU 8-BIT MCU 14KB Flash 1KB RAM, 256 EEPROM","579-PIC16F18345-I/GZ","PIC16F18345-I/GZ",""
"R11","R-EU_R0402","BottomLayer","R0402","2.5000","-4.7500","90","Resistor","603-RC0402FR-0710KL","RC0402FR-0710KL","10k"
"R10","R-EU_R0402","BottomLayer","R0402","-2.5000","-4.7500","90","Resistor","603-RC0402FR-0710KL","RC0402FR-0710KL","10k"
"R9","R-EU_R0402","BottomLayer","R0402","-1.2500","-4.7500","90","Resistor","603-RC0402FR-0710KL","RC0402FR-0710KL","10k"
"R8","R-EU_R0402","BottomLayer","R0402","1.2500","-4.7500","90","Resistor","603-RC0402FR-0710KL","RC0402FR-0710KL","10k"
"R4","R-EU_R0402","BottomLayer","R0402","2.9000","4.1000","90","Resistor","603-RC0402FR-0747RL","RC0402FR-0747RL","47r"
"R3","R-EU_R0402","BottomLayer","R0402","4.2000","4.1000","270","Resistor","603-RC0402FR-0747RL","RC0402FR-0747RL","47r"
"C4","C-EUC0402","BottomLayer","C0402","3.7500","-4.7500","270","Capacitor","81-GCM155R71E473KA5D","GCM155R71E473KA55D","47n"
"C3","C-EUC0402","BottomLayer","C0402","-3.7500","-4.7500","270","Capacitor","81-GCM155R71E473KA5D","GCM155R71E473KA55D","47n"
"C1","C-EUC0603","BottomLayer","C0603","-4.9629","4.1000","225","Capacitor","963-EMK107ABJ475MA-T","CC0603KRX5R7BB475","4u7"
"C2","C-EUC0402","BottomLayer","C0402","-2.8000","2.3000","225","Capacitor","603-CC402KRX5R8BB104","GRM155R61C104KA88D","100n"
"R12","R-EU_R0402","BottomLayer","R0402","-5.0250","-4.7500","90","Resistor","603-RC0402FR-0710KL","RC0402FR-0710KL","10k"
"R5","R-EU_R0402","BottomLayer","R0402","1.6000","4.1000","90","Resistor","603-RC0402FR-0747RL","RC0402FR-0747RL","47r"
"R6","R-EU_R0402","BottomLayer","R0402","5.5018","4.1000","90","Resistor","603-RC0402FR-0747RL","RC0402FR-0747RL","47r"
"R7","R-EU_R0402","BottomLayer","R0402","6.8000","4.1000","90","Resistor","603-RC0402FR-0747RL","RC0402FR-0747RL","47r"
